0.6	200	40
0.9	500	50
		
1.2	3640	510
1.5	4500	480
2	5080	680
		
0.8	400	180
1	450	510
1.9	830	330
2.5	5350	690
2.9	7540	750
3.25	7600	920
3.7	12590	1610
3.9	9830	1200
		
1	470	170
1.2	350	590
1.4	5300	700
		
0.5	60	10
6.5	13700	2900
6.9	17500	1900
7.5	26980	2500
8.1	27500	2700
8.9	58300	5600
10.1	100800	10400
12.1	107700	7800
		
13.5	73700	7800
13.6	81070	10600
		
16.1	82210	10990
18	151290	30400
		
0.8	300	30
1.3	1900	300
2	4700	900
2.2	5200	1800
3.65	5100	1400
3.9	5300	700
		
1.4	5400	1300
2.22	7900	1100
		
0.5	16000	2400
1.09	16000	2200
3.53	34000	4700
4.42	59000	7100
5.02	66000	12100
6.42	75000	12200
		
0.7	11000	1500
1.7	31000	3000
2.2	32000	3800
3.2	35000	4700
		
100	19000	9800
250	19000	7600
155	21000	8600
600	31000	5300
800	41000	5200
1160	42000	12600
		
100	8000	900
850	10000	1800
1160	10000	900
1380	38000	4100
		
1	31100	800
1.6	8100	3100
7.4	9500	4000
9	9500	1100
10	11700	4000
12.5	25800	5500
12.5	52400	218000
14.5	86300	28500
		
0.2	6000	1000
0.8	8000	1000
1.3	10000	3000
2.3	11000	3000
3.5	12000	3000
5	21000	2000
6.2	19000	5000
		
3.3	18000	2000
3.9	22000	4000
6	25000	3000
		
0.6	19000	5000
1.5	22000	5000
		
4.5	16000	3000
6	25000	6000
		
0.5	450	60
0.7	390	30
6	550	50
14	1070	90
20	6860	490
21	8300	690
22	9600	740
23	13850	1110
		
11	680	80
19	5690	500
		
0.3	200	30
1	160	30
2	840	80
5	2090	180
6	1920	160
7	10140	690
9	12250	820
		
0.5	70	10
5	70	10
		
1.5	70	10
2.5	60	10
4.5	140	20
5.5	130	10
8.5	3520	340
		
1	70	10
3.7	70	10
8.2	670	70
9.2	5190	510
10.2	5430	400
		
1	50	10
2	150	30
		
0.8	580	50
0.9	4070	440
3	8810	710
5	8970	670
7	8620	640
		
0.5	3010	240
2	8790	670
9	10520	990
11	11610	820
		
1.35	150	20
1.6	980	100
3.7	9270	640
5.7	9380	820
		
2	340	30
4	1650	150
6	9380	710
9.5	9390	690
		
2	7280	520
3	8860	660
10	10510	730
11	10510	640
25	10050	760
26	10330	970
		
21	9530	870
22	11830	930
		
2	10010	700
3	10040	850
		
0.5	1690	280
1	2650	240
2.2	2890	360
		
1	230	40
		
0.5	8930	1140
3.3	8890	880
		
0.5	120	40
2	7060	850
		
3	6490	660
4.9	7130	610
		
0.6	2200	190
1.4	4540	430
2.4	5760	350
		
2	15300	1100
2.5	12100	700
		
1	12900	1100
1.6	13800	1000
		
0.5	5200	600
		
2.2	13100	800
3	14400	1100
		
2	4900	300
3	13200	700
		
2	11000	900
		
2	10300	600
		
1	5000	300
1.5	5100	300
